iter	RMSE
0	68.47358911
1	67.00558313
2	64.89221653
3	63.41667357
4	61.91779703
5	60.40274471
6	58.88629248
7	57.38343918
8	56.34946611
9	55.41222398
10	54.41295174
11	53.47369881
12	52.8556112
13	52.11219618
14	51.47094803
15	50.85609467
16	49.78094008
17	49.21046583
18	48.32146007
19	47.83078693
20	47.35933618
21	46.45544439
22	46.15946371
23	45.67624389
24	45.08206746
25	44.72558396
26	44.53169591
27	44.19440215
28	43.78207648
29	43.48434642
30	43.11032916
31	42.87772996
32	42.4079832
33	41.98184359
34	41.49567374
35	41.45126892
36	41.06841182
37	40.55894681
38	40.03764771
39	39.75092511
40	39.30295614
41	39.072628
42	38.52883206
43	38.11726725
44	37.74930135
45	37.3003605
46	36.94772125
47	36.47613925
48	36.35741431
49	36.09433926
50	35.65304844
51	35.08563362
52	34.78138028
53	34.53246562
54	34.42588256
55	34.01664075
56	33.56628791
57	33.23376964
58	32.83753449
59	32.74342988
60	32.29961539
61	32.00777065
62	31.54468636
63	31.25373158
64	30.99304461
65	30.63387222
66	30.35825499
67	30.05113882
68	29.94426983
69	29.75628293
70	29.37968153
71	29.05477969
72	28.78695142
73	28.44392142
74	28.24848892
75	27.9528571
76	27.6845022
77	27.41438752
78	27.24290508
79	26.97861585
80	26.80413602
81	26.57048017
82	26.34892694
83	25.98599312
84	25.884949
85	25.59560866
86	25.33442951
87	25.0588079
88	24.92289361
89	24.58617876
90	24.45044561
91	24.31766393
92	24.17278796
93	24.07472269
94	23.96401803
95	23.66901474
96	23.54489372
97	23.45356305
98	23.2129885
99	23.06306594
